"name","segment","what_they_do","town","district","province","ownership","parent","scale","pacra_number","pacra_status","isic","ncc_grade","officeholder","confidence","evidence","lat","lng","coord_basis","notes","sources"
"Gifena Mechanical Mining","mining_contractor","Mechanical mining contractor based in Luanshya, a Copperbelt mine town; NCC-registered in the building category","Luanshya","Luanshya","Lusaka","Zambian (NCC ownership classification: Zambian)",,"NCC grade 6B",,,,"6B",,"medium","registry record and/or indirect evidence only","-13.1367","28.4166","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"GRN Mining Zambia Limited","mining_contractor","Mining contractor; NCC-registered in the roads category with a Lusaka town and province","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grade 5R",,,,"5R",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Huaqiang Mining Services Limited","mining_contractor","Mining services contractor with Kitwe and Lusaka NCC registrations; Chinese-associated name","Kitwe","Kitwe","Copperbelt","Zambian ownership classification on the NCC register",,"NCC grades 6C (Kitwe) and 5B (Lusaka)",,,,"6C; 5B",,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","Name suggests Chinese founders but the NCC ownership column records Zambian; do not over-read either signal.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Inzu Mining, Construction & Supplies","mining_contractor","Mining, construction and supplies contractor with five NCC registrations across Lusaka and Mufulira, including a grade-2 building registration","Lusaka","Lusaka","Lusaka","Zambian; one Mufulira registration is recorded as female-owned",,"NCC grades 2B, 6E, 4R and others",,,,"2B; 6E; 4R",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","The Mufulira grade-4R row carries a Female ownership classification while the Lusaka rows are Male - the register records ownership per registration, not per company.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"JCHX Mining Construction Zambia Limited","mining_contractor","Chinese underground mining and shaft-sinking contractor operating in Zambia; PACRA nature of business 'Other mining and quarrying n.e.c.'",,,,"Chinese-owned subsidiary","JCHX Mining Management Co., Ltd (China)","PACRA registration 30/07/2010","120100086066","Active","Other mining and quarrying n.e.c.",,,"high","non-registry source evidences operations",,,,"JCHX is one of the largest Chinese mine-development contractors active on the Zambian Copperbelt.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=JCHX&SortyBy=entity%20name&Direction=ASC"
"Joe's Earthworks & Mining","mining_contractor","Earthworks and mining contractor with NCC registrations in Kitwe, Lusaka, Chama and Chadiza, all carrying a Copperbelt province classification","Kitwe","Kitwe","Copperbelt","Zambian (NCC ownership classification: Zambian)",,"NCC grades 6E and 6B (multiple registrations)",,,,"6E; 6B",,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Krel Mining & Construction","mining_contractor","Mining and construction contractor based in Chingola, the Nchanga mine town; NCC-registered in the civil category","Chingola","Chingola","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grade 6C",,,,"6C",,"medium","registry record and/or indirect evidence only","-12.5288","27.8492","town centroid, not a company address","The NCC row pairs a Chingola town with a Lusaka province entry, which is an inconsistency in the source register rather than a finding.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Mama Africa Mining Services","mining_contractor","Mining services contractor; NCC-registered in the building category with a Copperbelt province classification",,,"Copperbelt","Zambian (NCC ownership classification: Zambian, male)",,"NCC grade 5B",,,,"5B",,"medium","registry record and/or indirect evidence only",,,,"Town column blank in the published NCC PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Master Mine Service (Zambia) Limited","mining_contractor","Mine services contractor; NCC-registered in building categories","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification)",,"NCC grade 6B (two registrations)",,,,"6B",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Metal Lake Mining Construction and Logistics Limited","mining_contractor","Combined mining, construction and logistics contractor based in Kitwe with a Lusaka registration as well","Kitwe","Kitwe","Copperbelt","Foreign-owned (NCC country of ownership: India) on its grade-2 registration, with additional Zambian-classified registrations",,"NCC grades 2 ME, 5B, 5E, 6B, 6C, 6 M (ME)",,,,"2 ME; 5B; 5E; 6B; 6C; 6 M (ME)",,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","Multiple NCC registrations across categories, which is typical of firms bidding both mine works and civils.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Momentum Mining Services Limited","mining_contractor","Mining services firm registered with the NCC as both a manufacturer/supplier and a civil contractor","Lusaka","Lusaka","Lusaka","Zambian (NCC ownership classification: Zambian, male)",,"NCC grades 6 M (M) and 6C",,,,"6 M (M); 6C",,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address",,"https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"NHR Mining Support Zambia Limited","mining_contractor","Mining support services; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2025","120251032127","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SUPPORT&SortyBy=entity%20name&Direction=ASC"
"Stratomont Mining Services Limited","mining_contractor","Mining services company; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"Incorporated 2026","120261047928","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SUPPORT&SortyBy=entity%20name&Direction=ASC"
"Tongguan Mines Construction Zambia Limited","mining_contractor","Mine construction and development contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,"Chinese-linked",,"PACRA registration 2011","120110093051","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SUPPORT&SortyBy=entity%20name&Direction=ASC"
"Copperbelt Energy Corporation Plc","power_fuel","Owns and operates the transmission and distribution network that supplies the Copperbelt mines, and is a power trader and IPP; the dedicated mine power utility","Kitwe","Kitwe","Copperbelt","Zambian public company listed on the Lusaka Securities Exchange",,"PACRA registration 19/09/1997, on privatisation of the ZCCM power division; head office in Kitwe with a corporate office in Lusaka","119970039070","Active","Electric power generation, transmission and distribution",,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","CEC is the single most mining-specific power entity in Zambia - its network exists to serve the Copperbelt mines.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=COPPERBELT%20ENERGY&SortyBy=entity%20name&Direction=ASC | https://www.cec.com.zm/contact-us"
"Lake Petroleum Limited","power_fuel","Fuel transport and distribution company; PACRA ISIC 'Freight transport by road', consistent with bulk fuel haulage",,,,,,"PACRA registration 07/04/2008","120080071952","Active","Freight transport by road",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LAKE%20PETROLEUM&SortyBy=entity%20name&Direction=ASC"
"Mount Meru Petroleum Zambia Limited","power_fuel","Fuel wholesaler and distributor; PACRA ISIC 'Wholesale of solid, liquid and gaseous fuels and related products'",,,,"Foreign-linked regional group","Mount Meru Group","PACRA registration 12/04/2007","120070066258","Active","Wholesale of solid, liquid and gaseous fuels and related products",,,"medium","registry record and/or indirect evidence only",,,,"Recorded as a bulk fuel distributor with the scale to serve mining customers; a specific mining supply contract was not verified.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MOUNT%20MERU&SortyBy=entity%20name&Direction=ASC"
"Puma Energy Zambia Plc","power_fuel","Fuel importer, storage operator and bulk distributor; a principal supplier of diesel to Zambian mining operations. PACRA ISIC 'Support activities for petroleum and natural gas extraction'",,,,"Foreign-owned public company","Puma Energy Holdings","PACRA registration 16/08/1963 - the legacy BP Zambia registration","119630002575","Active","Support activities for petroleum and natural gas extraction",,,"high","non-registry source evidences operations",,,,"A related PUMA ENERGY RENEWABLES ZAMBIA LIMITED (120251033130) was registered in 2025.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=PUMA%20ENERGY&SortyBy=entity%20name&Direction=ASC"
"TotalEnergies Marketing Zambia Limited","power_fuel","Fuel and lubricants marketer; supplies bulk diesel and industrial lubricants to mining and heavy industry",,,,"Foreign-owned subsidiary (French parent)","TotalEnergies SE (France)","PACRA registration 10/11/1950","119500000366","Active","Manufacture of gas; distribution of gaseous fuels through mains",,,"high","non-registry source evidences operations",,,,"TOTALENERGIES AVIATION ZAMBIA LIMITED (120080002346) is a separate Active entity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=TOTALENERGIES&SortyBy=entity%20name&Direction=ASC"
"ZESCO Limited","power_fuel","State-owned national electricity utility; supplies mines under large-power/bulk-supply arrangements and is the ultimate generator behind most mine load","Lusaka","Lusaka","Lusaka","State-owned (Government of the Republic of Zambia via IDC)","Industrial Development Corporation (Zambia)","PACRA registration 10/10/1988; national utility","119880017475","Active","Electric power generation, transmission and distribution",,,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Included because mine large-power supply agreements are a mining-specific commercial arrangement, not general retail electricity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=ZESCO&SortyBy=entity%20name&Direction=ASC"
"AL FARIS GOLD LEACHING AND REFINING LIMITED","processor","Gold leaching and refining company, mining support services",,,,,,,"120241015161","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 01/11/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LEACH&SortyBy=entity%20name&Direction=ASC"
"FATEH MINERALS PROCESSING AND EXPORT LIMITED","processor","Minerals processing and export company",,,,,,,"120251033714","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 07/10/2025. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20PROCESSING&SortyBy=entity%20name&Direction=ASC"
"HUACHIN METAL LEACH LIMITED","processor","Copper metal leaching plant, non-ferrous metal ores",,,,,,,"120190005021","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"NAMESAKE CAUTION: the well-documented Huachin Metal Leach SA is a CNMC-affiliated copper hydrometallurgy plant at Likasi in Haut-Katanga, DRC, not Zambia. HUACHIN METAL LEACH LIMITED is a separate Zambian PACRA registration (registered 2019, ISIC: mining of other non-ferrous metal ores) and is most likely a related entity of the same Chinese group, but no source was found evidencing an operating plant in Zambia. Treat the Zambian entity as registration-only until a Zambian site is confirmed.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LEACH&SortyBy=entity%20name&Direction=ASC | https://hml-drc.com/en/ | https://www.dnb.com/business-directory/company-profiles.huachin_metal_leach_sprl.491fb069a4cfd29ea7f422978fd18ef8.html"
"KAKOSO METALS LEACH LIMITED","processor","Metals leaching plant associated with Kakoso, Chililabombwe area",,,,,,,"120100086390","Active","Other manufacturing n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 18/08/2010. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LEACH&SortyBy=entity%20name&Direction=ASC"
"KANCHIBIYA INTEGRATED GOLD PROCESSING AND TRADING LIMITED","processor","Integrated gold processing and trading operation, Kanchibiya, Muchinga",,,,,,,"120261038700","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 08/01/2026. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=GOLD%20TRADING&SortyBy=entity%20name&Direction=ASC"
"MUFUMBWE GOLD PROCESSING AND REFINERY LIMITED","processor","Gold processing and refining operation associated with Mufumbwe, North-Western",,,,,,,"120261045731","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 03/05/2026. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=REFIN&SortyBy=entity%20name&Direction=ASC"
"MUMBWA GOLD LEECHING AND REFINING LIMITED","processor","Gold leaching and refining operation associated with Mumbwa, Central",,,,,,,"120230054357","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 02/08/2023. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=REFIN&SortyBy=entity%20name&Direction=ASC"
"SINO-METALS LEACH ZAMBIA LIMITED","processor","Copper hydrometallurgical plant at Chambishi using heap/tank leaching and solvent extraction to turn low-grade oxide ore and tailings into copper cathode and blister","Chambishi","Kalulushi","Copperbelt","Chinese state-owned; subsidiary of China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC)","China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC)","Described by CNMC and Chinese state media as China's first large-scale overseas copper hydrometallurgy enterprise","120040057192","Active","Other mining and quarrying n.e.c",,"Zhang Peiwen, Chairman","high","non-registry source evidences operations","-12.65","28.05","town centroid, not a company address","Handles the hydrometallurgical leg of the Chambishi copper operation, processing lower-grade ore into cathode. Subject of the February 2025 tailings dam failure that spilled waste into the Mwambashi/Kafue river system, after which the chairman met Zambian government ministers and issued a public apology. Contact email published by the company is a named individual's address and has been deliberately omitted.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LEACH&SortyBy=entity%20name&Direction=ASC | https://www.chinadaily.com.cn/a/202409/05/WS66d90d0ba3108f29c1fca3f2.html | https://en.wikipedia.org/wiki/2025_Sino-Metals_Leach_Zambia_dam_disaster | https://africamining.chinaglobalsouth.com/projects/chambishi-copper-mine"
"North West Rail Company Limited","rail","Concession company formed to develop the North-Western rail link intended to serve the Solwezi/Lumwana/Kalumbila mining district; PACRA ISIC 'Freight transport by road'",,,,,,"PACRA registration 26/11/2003","120030053984","Active","Freight transport by road",,,"medium","registry record and/or indirect evidence only",,,,"Named in the task brief as one of the North-West rail commercial entities. Confirmed as an Active PACRA company; project status not verified here.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=NORTH%20WEST%20RAIL&SortyBy=entity%20name&Direction=ASC"
"TAZARA Corridor Marketing Company Limited","rail","Marketing and commercial company for the TAZARA corridor, the rail route used for Zambian copper and cobalt export to Dar es Salaam",,,,,,"PACRA registration 21/06/1994","119940031790","Active","Other retail sale not in stores, stalls or markets",,,"medium","registry record and/or indirect evidence only",,,,"PACRA ISIC line appears to be a registration-form artefact.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=TAZARA&SortyBy=entity%20name&Direction=ASC"
"TAZARA Revitalization Zambia Limited","rail","Zambian company incorporated in 2025 in connection with the revitalisation of the Tanzania-Zambia Railway, the Dar es Salaam corridor route for Zambian mineral exports; PACRA ISIC 'Passenger rail transport, interurban'",,,,,,"Incorporated 18/07/2025","120251028920","Active","Passenger rail transport, interurban",,,"medium","registry record and/or indirect evidence only",,,,"Distinct from TAZARA itself, which is a bi-national statutory authority and therefore not a PACRA company. TAZARA CORRIDOR MARKETING COMPANY LIMITED (119940031790, Active, registered 1994) is a separate related PACRA entity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=TAZARA&SortyBy=entity%20name&Direction=ASC"
"Zambia Railways Limited","rail","State-owned railway operating the Zambian main line (Livingstone-Lusaka-Kapiri Mposhi-Copperbelt), the historic route for copper and mine inbound bulk freight","Kabwe","Kabwe","Central","State-owned (Government of the Republic of Zambia via IDC)","Industrial Development Corporation (Zambia)","PACRA registration 19/12/1983","119830012780","Active","Passenger rail transport, interurban",,,"medium","registry record and/or indirect evidence only","-14.4469","28.4464","town centroid, not a company address","Kabwe headquarters is long-standing public knowledge but is not confirmed by the PACRA record, which carries no address; treat town as provisional.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=ZAMBIA%20RAILWAYS%20LIMITED&SortyBy=entity%20name&Direction=ASC"
"ACHIEVERS SCRAP DEALERS LIMITED","scrap_metal","Scrap dealing company, wholesale of waste and scrap",,,,,,,"120241002654","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 22/02/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"CHRIMOS SCRAP METAL & TRADING LIMITED","scrap_metal","Scrap metal trading company",,,,,,,"120150136970","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 02/11/2015. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=METAL%20TRADING&SortyBy=entity%20name&Direction=ASC"
"COSIM SCRAP METAL AND GENERAL DEALERS","scrap_metal","Scrap metal and general dealer",,,,,,,"320251046612","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 12/06/2025. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"KAGLO SCRAP METAL AND GENERAL TRADING","scrap_metal","Scrap metal and general trading business",,,,,,,"320220053487","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 15/07/2022. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=METAL%20TRADING&SortyBy=entity%20name&Direction=ASC"
"LASTO SCRAP DEALERS","scrap_metal","Scrap dealer, wholesale of waste and scrap",,,,,,,"320190000684","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 11/01/2019. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"MAROKAJO SRAP METAL TRADING","scrap_metal","Scrap metal trading business name",,,,,,,"320220042880","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 02/04/2022. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=METAL%20TRADING&SortyBy=entity%20name&Direction=ASC"
"MARTINDALE METALS & GENERAL TRADING","scrap_metal","Metals trading business classified under materials recovery",,,,,,,"320050121116","Active","Materials recovery",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 08/04/2005. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=METAL%20TRADING&SortyBy=entity%20name&Direction=ASC"
"MATHEWS PAKA METAL SCRAP DEALERS","scrap_metal","Metal scrap dealer, wholesale of waste and scrap",,,,,,,"320241002587","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 01/02/2024. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"NENACH SCRAP DEALERS","scrap_metal","Scrap dealer, wholesale of waste and scrap",,,,,,,"320190018655","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 30/12/2019. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"NZUBUKE SCRAP AND SUPPLIERS","scrap_metal","Scrap dealer and supplier",,,,,,,"320180012902","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 04/10/2018. Entity type: Business Name - Individual/Partnership. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"ZAIN SCRAP DEALERS","scrap_metal","Scrap dealer, wholesale of waste and scrap",,,,,,,"320170010267","Active","Wholesale of waste and scrap and other products n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 03/08/2017. Entity type: Business Name - Body Corporate. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SCRAP&SortyBy=entity%20name&Direction=ASC"
"Copper-Mine Secure Services","security","Security services business name explicitly oriented to copper mining; PACRA ISIC 'Security systems service activities'",,,,"Zambian registered business name",,"Registered 2022","320220040096","Active","Security systems service activities",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SECURITY&SortyBy=entity%20name&Direction=ASC"
"G Four S Mining Solutions Zambia Limited","security","Mining-focused security company; PACRA nature of business 'Private security activities'",,,,,,"Incorporated 2025","120251038021","Active","Private security activities",,,"medium","registry record and/or indirect evidence only",,,,"The name is a phonetic rendering of 'G4S' but no affiliation with the G4S/Allied Universal group is evidenced. Do not assume a link.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SECURITY&SortyBy=entity%20name&Direction=ASC"
"Golden Camp Solutions Limited","security","Camp solutions and food service company; PACRA ISIC 'Other food service activities', consistent with remote-site camp and catering work",,,,,,"PACRA registration 2021","120210020338","Active","Other food service activities",,,"medium","registry record and/or indirect evidence only",,,,"Mine-site camp work is inferred from the name and ISIC line, not confirmed by a mining-context source.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=CAMP%20AND%20CATERING&SortyBy=entity%20name&Direction=ASC"
"Kobra Mining Security Services Limited","security","Security company dedicated to mining clients; PACRA nature of business 'Private security activities'",,,,,,"PACRA registration 2014","120140126444","Active","Private security activities",,,"medium","registry record and/or indirect evidence only",,,,"One of the few PACRA companies combining an explicit mining focus with the 'Private security activities' classification.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SECURITY&SortyBy=entity%20name&Direction=ASC"
"Pala Mine Security Services","security","Mine security services business name on the PACRA register",,,,"Zambian registered business name",,"Registered 2021","320210019164","Active","Compulsory social security activities",,,"medium","registry record and/or indirect evidence only",,,,"The recorded ISIC line ('Compulsory social security activities') is plainly a registration-form mis-selection - the trading name indicates mine guarding.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SECURITY&SortyBy=entity%20name&Direction=ASC"
"Shaft Security Services, Workshop, Spares, Mining, Food Supply and General Dealers Limited","security","Combined mine-site services company spanning shaft security, workshop and spares, mining and food supply - i.e. a bundled mine-site support provider. PACRA nature of business 'Private security activities'",,,,,,"PACRA registration 2007","120070066112","Active","Private security activities",,,"medium","registry record and/or indirect evidence only",,,,"The registered name is itself evidence of how bundled mine-site service provision is structured in Zambia.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20SECURITY&SortyBy=entity%20name&Direction=ASC"
"Sodexo Security Company Limited","security","Security services company; PACRA ISIC 'Security systems service activities'",,,,,,"PACRA registration 2021","120210018272","Active","Security systems service activities",,,"medium","registry record and/or indirect evidence only",,,,"Name coincides with the international Sodexo facilities group but no affiliation is evidenced - most likely an unrelated Zambian company. A mining-specific contract was not verified; recorded as a candidate only.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SODEXO&SortyBy=entity%20name&Direction=ASC"
